timestep,predicted_time,executor_cores,executor_instances,driver_cores,memory_fraction,memory_storageFraction,rpc_message_maxSize,executor_memory_mb,driver_memory_mb,shuffle_file_buffer_kb,broadcast_block_mb,maxSizeInFlight_mb,shuffle_compress,spill_compress,broadcast_compress,rdd_compress,io_codec
7553,18.59112281051367,2,3,3,0.7,0.6,192,2048.0,3072.0,80.0,14.0,72.0,1,1,1,1,snappy
7554,18.627790848686917,2,3,3,0.7,0.6,192,2048.0,3072.0,64.0,14.0,72.0,1,1,1,1,snappy
7555,18.624459327706614,2,3,3,0.7,0.6,192,2048.0,3072.0,64.0,14.0,80.0,1,1,1,1,snappy
7556,18.611577939708038,2,3,3,0.7,0.6,192,2048.0,3072.0,64.0,16.0,80.0,1,1,1,1,snappy
7557,18.632073461498628,2,3,3,0.7,0.6,192,2048.0,3072.0,64.0,16.0,88.0,1,1,1,1,snappy
7558,18.611577939708038,2,3,3,0.7,0.6,192,2048.0,3072.0,64.0,16.0,80.0,1,1,1,1,snappy
7559,18.60129745576297,2,3,3,0.7,0.5,192,2048.0,3072.0,64.0,16.0,80.0,1,1,1,1,snappy
7560,18.614178843761547,2,3,3,0.7,0.5,192,2048.0,3072.0,64.0,14.0,80.0,1,1,1,1,snappy
7561,18.6407649065663,2,3,2,0.7,0.5,192,2048.0,3072.0,64.0,14.0,80.0,1,1,1,1,snappy
7562,18.653457102333498,2,3,2,0.7,0.5,192,2048.0,3072.0,64.0,12.0,80.0,1,1,1,1,snappy
7563,18.639513206279705,2,3,2,0.7,0.5,192,3072.0,3072.0,64.0,12.0,80.0,1,1,1,1,snappy
7564,17.501835820120455,3,3,2,0.7,0.5,192,3072.0,3072.0,64.0,12.0,80.0,1,1,1,1,snappy
7565,17.501835820120455,3,3,2,0.7,0.5,192,3072.0,3072.0,64.0,12.0,80.0,1,1,1,1,snappy
7566,17.478105095546677,3,3,2,0.7,0.5,192,3072.0,3072.0,64.0,12.0,80.0,1,1,1,0,snappy
7567,17.478105095546677,3,3,2,0.7,0.5,192,3072.0,3072.0,64.0,12.0,80.0,1,1,1,0,snappy
7568,17.504588473331438,3,3,3,0.7,0.5,192,3072.0,3072.0,64.0,12.0,80.0,1,1,1,0,snappy
7569,17.560432956619504,3,3,4,0.7,0.5,192,3072.0,3072.0,64.0,12.0,80.0,1,1,1,0,snappy
7570,17.55933233933555,3,3,4,0.7,0.5,192,3072.0,3072.0,64.0,14.0,80.0,1,1,1,0,snappy
7571,17.5606004720516,3,3,4,0.6,0.5,192,3072.0,3072.0,64.0,14.0,80.0,1,1,1,0,snappy
7572,17.71528173865666,3,3,4,0.6,0.5,160,3072.0,3072.0,64.0,14.0,80.0,1,1,1,0,snappy
7573,17.725951120637845,3,3,4,0.6,0.5,160,3072.0,3072.0,48.0,14.0,80.0,1,1,1,0,snappy
7574,17.725951120637845,3,3,4,0.6,0.5,160,3072.0,3072.0,48.0,14.0,80.0,1,1,1,0,snappy
7575,17.719521277332998,3,3,4,0.6,0.5,160,3072.0,3072.0,48.0,14.0,88.0,1,1,1,0,snappy
7576,17.749476824794794,3,2,4,0.6,0.5,160,3072.0,3072.0,48.0,14.0,88.0,1,1,1,0,snappy
7577,17.749476824794794,3,2,4,0.6,0.6,160,3072.0,3072.0,48.0,14.0,88.0,1,1,1,0,snappy
7578,17.7494768247948,3,2,4,0.6,0.6,160,3072.0,3072.0,48.0,14.0,88.0,1,1,1,0,snappy
7579,17.756075513066396,3,2,4,0.6,0.6,160,3072.0,3072.0,48.0,12.0,88.0,1,1,1,0,snappy
7580,17.791279803475373,3,2,4,0.6,0.6,160,2048.0,3072.0,48.0,12.0,88.0,1,1,1,0,snappy
7581,17.79127980347537,3,2,4,0.6,0.6,160,2048.0,3072.0,48.0,12.0,88.0,1,1,1,0,snappy
7582,17.548142750430674,3,2,4,0.6,0.6,160,2048.0,3072.0,48.0,12.0,88.0,0,1,1,0,snappy
7583,17.54925777892071,3,2,4,0.6,0.6,160,2048.0,3072.0,48.0,12.0,80.0,0,1,1,0,snappy
7584,17.543759707933052,3,2,4,0.6,0.6,160,2048.0,3072.0,48.0,14.0,80.0,0,1,1,0,snappy
7585,17.53585040779389,3,2,4,0.6,0.6,160,2048.0,3072.0,48.0,14.0,80.0,0,1,0,0,snappy
7586,17.786610017422944,3,2,4,0.6,0.6,160,2048.0,3072.0,48.0,14.0,80.0,1,1,0,0,snappy
7587,17.786610017422944,3,2,4,0.6,0.5,160,2048.0,3072.0,48.0,14.0,80.0,1,1,0,0,snappy
7588,17.631928750817895,3,2,4,0.6,0.5,192,2048.0,3072.0,48.0,14.0,80.0,1,1,0,0,snappy
7589,17.631928750817895,3,2,4,0.6,0.5,192,2048.0,3072.0,48.0,14.0,80.0,1,1,0,0,snappy
7590,17.649192911605663,3,2,4,0.6,0.5,192,2048.0,3072.0,48.0,14.0,80.0,1,1,0,1,snappy
7591,17.60869683878929,3,2,4,0.6,0.5,192,3072.0,3072.0,48.0,14.0,80.0,1,1,0,1,snappy
7592,17.59984461867144,3,2,4,0.6,0.5,192,3072.0,3072.0,48.0,14.0,72.0,1,1,0,1,snappy
7593,17.530224019491815,3,2,4,0.6,0.5,192,3072.0,3072.0,48.0,16.0,72.0,1,1,0,1,snappy
7594,17.530224019491815,3,2,4,0.6,0.5,192,3072.0,3072.0,32.0,16.0,72.0,1,1,0,1,snappy
7595,17.53022401949182,3,2,4,0.6,0.5,192,3072.0,3072.0,32.0,16.0,72.0,1,1,0,1,snappy
7596,17.370933465435762,3,2,4,0.6,0.5,192,3072.0,3072.0,32.0,16.0,72.0,0,1,0,1,snappy
7597,17.38497509716437,3,2,4,0.6,0.4,192,3072.0,3072.0,32.0,16.0,72.0,0,1,0,1,snappy
7598,17.398898553954492,3,2,4,0.5,0.4,192,3072.0,3072.0,32.0,16.0,72.0,0,1,0,1,snappy
7599,17.38035644416365,3,2,4,0.5,0.4,192,2048.0,3072.0,32.0,16.0,72.0,0,1,0,1,snappy
7600,17.38826574430281,3,2,4,0.5,0.4,192,2048.0,3072.0,32.0,16.0,72.0,0,1,1,1,snappy
7601,18.599338504406973,2,3,3,0.6,0.6,192,3072.0,3072.0,96.0,14.0,72.0,1,1,1,1,snappy
7602,18.590037927540425,2,3,3,0.6,0.6,192,3072.0,3072.0,96.0,14.0,72.0,1,1,1,0,snappy
7603,18.55792218863684,2,3,3,0.6,0.6,192,3072.0,3072.0,96.0,14.0,72.0,1,1,0,0,snappy
7604,17.463164615245088,3,3,3,0.6,0.6,192,3072.0,3072.0,96.0,14.0,72.0,1,1,0,0,snappy
7605,17.476081930761364,3,3,3,0.6,0.6,192,3072.0,3072.0,96.0,14.0,80.0,1,1,0,0,snappy
7606,17.455704736196665,3,3,3,0.6,0.6,224,3072.0,3072.0,96.0,14.0,80.0,1,1,0,0,snappy
7607,17.467466132066743,3,3,3,0.6,0.6,224,3072.0,3072.0,96.0,14.0,80.0,1,1,0,1,snappy
7608,17.47533438052353,3,3,3,0.7,0.6,224,3072.0,3072.0,96.0,14.0,80.0,1,1,0,1,snappy
7609,17.608148767878713,3,3,3,0.8,0.6,224,3072.0,3072.0,96.0,14.0,80.0,1,1,0,1,snappy
7610,17.599421772587487,3,3,3,0.8,0.6,224,3072.0,3072.0,96.0,14.0,80.0,1,1,0,1,lz4
7611,17.59942177258748,3,3,3,0.8,0.6,224,3072.0,3072.0,96.0,14.0,80.0,1,1,0,1,lz4
7612,17.599421772587483,3,3,3,0.8,0.6,224,3072.0,3072.0,96.0,14.0,80.0,1,1,0,1,lz4
7613,17.619798967152178,3,3,3,0.8,0.6,192,3072.0,3072.0,96.0,14.0,80.0,1,1,0,1,lz4
7614,17.619798967152178,3,3,3,0.8,0.6,192,3072.0,3072.0,96.0,14.0,80.0,1,1,0,1,lz4
7615,17.67128802691876,3,3,3,0.8,0.6,192,4096.0,3072.0,96.0,14.0,80.0,1,1,0,1,lz4
7616,17.683143225873614,3,3,3,0.8,0.6,192,5120.0,3072.0,96.0,14.0,80.0,1,1,0,1,lz4
7617,17.683143225873614,3,3,3,0.8,0.6,192,5120.0,3072.0,96.0,14.0,80.0,1,1,0,1,lz4
7618,17.68314322587361,3,3,3,0.8,0.6,192,5120.0,3072.0,80.0,14.0,80.0,1,1,0,1,lz4
7619,17.683143225873614,3,3,3,0.8,0.6,192,5120.0,3072.0,80.0,14.0,80.0,1,1,0,1,lz4
7620,17.683143225873614,3,3,3,0.8,0.6,192,5120.0,3072.0,80.0,14.0,80.0,1,1,0,1,lz4
7621,17.683143225873614,3,3,3,0.8,0.6,192,5120.0,3072.0,80.0,14.0,80.0,1,1,0,1,lz4
7622,17.683143225873614,3,3,3,0.8,0.6,192,5120.0,3072.0,80.0,14.0,80.0,1,1,0,1,lz4
7623,17.68314322587361,3,3,3,0.8,0.6,192,5120.0,3072.0,80.0,14.0,80.0,1,1,0,1,lz4
7624,17.683143225873614,3,3,3,0.8,0.7,192,5120.0,3072.0,80.0,14.0,80.0,1,1,0,1,lz4
