topology_workers,topology_worker_cores,topology_worker_mem_gb,profile,executor_cores,executor_memory,executor_instances,driver_cores,driver_memory,memory_fraction,memory_storageFraction,shuffle_compress,spill_compress,shuffle_file_buffer,broadcast_block,broadcast_compress,maxSizeInFlight,io_codec,rpc_message_maxSize,rdd_compress,median_duration_s,exit_code
4,2,4,large,2,3g,4,3,1g,0.6,0.3,false,true,48k,12m,false,96m,snappy,160,false,26.615,0
4,2,4,large,2,4g,4,1,3g,0.4,0.5,false,true,96k,14m,false,88m,snappy,224,true,27.4925,0
4,2,4,large,1,1g,3,4,1g,0.8,0.4,true,false,96k,24m,true,56m,lz4,192,false,33.688,0
4,2,4,large,1,1g,3,1,4g,0.6,0.8,false,false,112k,8m,false,56m,lz4,256,true,33.5075,0
4,2,4,large,1,2g,4,4,4g,0.3,0.7,false,false,128k,20m,false,72m,snappy,192,false,33.633,0
4,2,4,large,1,3g,3,3,1g,0.5,0.3,false,true,64k,20m,false,80m,snappy,256,false,31.519,0
4,2,4,large,1,1g,3,2,2g,0.7,0.3,false,false,64k,10m,false,64m,snappy,128,false,32.556,0
4,2,4,large,2,4g,3,3,2g,0.8,0.6,false,false,112k,12m,false,56m,snappy,192,true,26.6245,0
4,2,4,large,1,2g,4,4,1g,0.3,0.7,false,true,96k,22m,false,88m,lz4,192,false,33.166,0
4,2,4,large,2,2g,3,3,3g,0.6,0.5,false,false,96k,14m,true,88m,snappy,192,true,25.4905,0
4,2,4,large,1,2g,4,3,2g,0.5,0.4,true,false,96k,20m,true,96m,snappy,160,false,33.454,0
4,2,4,large,2,1g,3,1,1g,0.3,0.6,false,false,128k,4m,false,64m,snappy,160,true,25.1515,0
4,2,4,large,1,1g,2,4,1g,0.6,0.3,true,true,64k,10m,true,64m,lz4,160,true,34.0735,0
4,2,4,large,1,3g,4,2,4g,0.4,0.8,true,false,112k,18m,false,48m,lz4,160,false,35.3685,0
4,2,4,large,1,2g,2,4,3g,0.6,0.8,false,false,112k,24m,false,72m,snappy,160,true,38.241,0
4,2,4,large,1,4g,4,3,3g,0.3,0.3,false,false,64k,4m,false,48m,snappy,256,true,32.2055,0
4,2,4,large,1,3g,3,4,1g,0.4,0.7,false,false,32k,22m,false,80m,snappy,224,false,32.0725,0
4,2,4,large,2,2g,2,1,2g,0.6,0.4,true,false,64k,18m,true,48m,lz4,192,false,26.864,0
4,2,4,large,1,4g,4,1,2g,0.7,0.5,false,false,96k,22m,false,64m,snappy,224,true,32.285,0
