timestep,predicted_time,executor_cores,executor_instances,driver_cores,memory_fraction,memory_storageFraction,rpc_message_maxSize,executor_memory_mb,driver_memory_mb,shuffle_file_buffer_kb,broadcast_block_mb,maxSizeInFlight_mb,shuffle_compress,spill_compress,broadcast_compress,rdd_compress,io_codec
3414,17.287120919983014,3,2,4,0.6,0.6,224,5120.0,4096.0,80.0,14.0,48.0,0,0,1,1,snappy
3415,17.287120919983014,3,2,4,0.6,0.7,224,5120.0,4096.0,80.0,14.0,48.0,0,0,1,1,snappy
3416,17.271372491861495,3,2,4,0.6,0.7,224,4096.0,4096.0,80.0,14.0,48.0,0,0,1,1,snappy
3417,17.249135182925574,3,2,4,0.6,0.7,224,4096.0,4096.0,80.0,14.0,48.0,0,0,1,0,snappy
3418,17.249135182925574,3,2,4,0.6,0.7,224,4096.0,4096.0,80.0,14.0,48.0,0,0,1,0,snappy
3419,17.259881899236525,3,2,4,0.6,0.7,224,4096.0,4096.0,80.0,14.0,48.0,0,1,1,0,snappy
3420,17.259881899236525,3,2,4,0.6,0.7,224,4096.0,4096.0,80.0,14.0,48.0,0,1,1,0,snappy
3421,17.389684877468206,3,2,4,0.6,0.7,224,4096.0,4096.0,80.0,14.0,48.0,1,1,1,0,snappy
3422,17.393852315739807,3,2,4,0.5,0.7,224,4096.0,4096.0,80.0,14.0,48.0,1,1,1,0,snappy
3423,17.393852315739807,3,2,4,0.5,0.6,224,4096.0,4096.0,80.0,14.0,48.0,1,1,1,0,snappy
3424,17.393852315739807,3,2,4,0.5,0.7,224,4096.0,4096.0,80.0,14.0,48.0,1,1,1,0,snappy
3425,17.393852315739807,3,2,4,0.5,0.6,224,4096.0,4096.0,80.0,14.0,48.0,1,1,1,0,snappy
3426,17.402471451542276,3,2,4,0.5,0.6,224,4096.0,4096.0,80.0,12.0,48.0,1,1,1,0,snappy
3427,17.398304013270675,3,2,4,0.6,0.6,224,4096.0,4096.0,80.0,12.0,48.0,1,1,1,0,snappy
3428,16.22032138758005,4,2,4,0.6,0.6,224,4096.0,4096.0,80.0,12.0,48.0,1,1,1,0,snappy
3429,16.22032138758005,4,2,4,0.6,0.6,224,4096.0,4096.0,80.0,12.0,48.0,1,1,1,0,snappy
3430,16.22032138758005,4,2,4,0.6,0.6,224,4096.0,4096.0,80.0,12.0,48.0,1,1,1,0,snappy
